Date,^BSESN,RELIANCE.BO,TCS.BO,INFY.BO,HDFCBANK.BO,ICICIBANK.BO,LT.BO,ITC.BO,SBIN.BO,BHARTIARTL.BO,HINDUNILVR.BO,IDEA.BO,YESBANK.BO,SUZLON.BO,PNB.BO,IRFC.BO,FEDERALBNK.BO,BHEL.BO,SAIL.BO,IDFCFIRSTB.BO,UCOBANK.BO
2021-01-29,46285.76953125,894.0724487304688,2805.647705078125,1091.269775390625,623.51318359375,519.3853149414062,1280.8812255859375,166.513427734375,257.8863220214844,540.6743774414062,2105.6416015625,11.239999771118164,15.75,6.300000190734863,30.989974975585938,20.89928436279297,69.20478057861328,35.50514221191406,48.30100631713867,47.04603576660156,12.596927642822266
2021-02-01,48600.609375,919.3934936523438,2830.703857421875,1110.46044921875,662.2472534179688,584.13916015625,1391.1083984375,176.91795349121094,284.44757080078125,566.0368041992188,2092.385009765625,11.710000038146973,16.399999618530273,6.610000133514404,33.12401580810547,21.10953712463379,73.79295349121094,37.62265396118164,53.33235549926758,46.44799041748047,12.793293952941895
2021-02-02,49797.71875,934.4793701171875,2886.854736328125,1118.6912841796875,699.546875,597.0028686523438,1458.19482421875,178.7612762451172,304.65423583984375,586.0725708007812,2076.291259765625,11.869999885559082,16.600000381469727,6.920000076293945,33.58794021606445,20.81517791748047,76.70834350585938,38.31207275390625,51.152103424072266,47.544403076171875,12.822749137878418
2021-02-03,50255.75,936.3469848632812,2883.33984375,1132.1597900390625,706.181884765625,601.8389282226562,1467.2164306640625,177.57334899902344,307.0771789550781,595.015380859375,2076.988525390625,12.260000228881836,16.299999237060547,6.739999771118164,35.62919235229492,20.394672393798828,77.99877166748047,39.09998321533203,53.29042434692383,47.49456787109375,13.019116401672363
2021-02-04,50614.2890625,933.2667846679688,2872.704833984375,1126.5260009765625,707.5045166015625,606.9166259765625,1467.8883056640625,188.42848205566406,324.6780090332031,586.7567138671875,2090.431396484375,12.15999984741211,16.25,7.0,37.57766342163086,21.319793701171875,81.72664642333984,41.56219482421875,54.90916442871094,48.88999938964844,13.166390419006348
2021-02-05,50731.62890625,933.291015625,2846.341552734375,1120.0118408203125,715.887939453125,594.4397583007812,1455.411376953125,191.91030883789062,359.37677001953125,568.0892333984375,2112.107421875,11.989999771118164,16.899999618530273,6.570000171661377,37.20652770996094,21.656198501586914,79.48036193847656,42.89179229736328,55.33513641357422,48.09260940551758,13.068207740783691
2021-02-08,51348.76953125,946.630615234375,2897.8056640625,1148.2252197265625,719.4519653320312,608.8994140625,1489.6265869140625,190.9681854248047,362.8511962890625,583.8246459960938,2081.826171875,11.710000038146973,17.049999237060547,6.559999942779541,35.258056640625,21.656198501586914,79.19358825683594,39.19846725463867,57.63544845581055,48.98967361450195,12.940569877624512
2021-02-09,51329.078125,948.7892456054688,2862.33935546875,1148.7974853515625,722.7022705078125,612.9133911132812,1503.20703125,187.6092529296875,360.88543701171875,585.2417602539062,2062.150146484375,11.960000038146973,16.649999618530273,6.239999771118164,36.2322883605957,21.277742385864258,79.28917694091797,38.21357727050781,56.78349304199219,49.8369026184082,12.90129566192627
2021-02-10,51309.390625,958.1513671875,2894.0205078125,1140.962646484375,709.9028930664062,611.656005859375,1490.3944091796875,186.50320434570312,358.46240234375,576.73876953125,2080.05859375,11.90999984741211,16.399999618530273,6.099999904632568,36.603431701660156,21.361841201782227,79.19358825683594,37.67189407348633,56.78349304199219,50.335269927978516,12.754021644592285
2021-02-11,51531.51953125,997.1032104492188,2889.423583984375,1137.353759765625,704.9266967773438,609.96337890625,1469.0400390625,185.52012634277344,356.7251892089844,584.8508911132812,2104.71142578125,12.899999618530273,16.5,6.230000019073486,35.90754699707031,21.403894424438477,79.76712036132812,38.164337158203125,56.99647903442383,52.37858200073242,12.734384536743164
2021-02-12,51544.30078125,990.1664428710938,2876.17431640625,1152.8466796875,709.364990234375,626.2606201171875,1459.9224853515625,178.1468505859375,359.5139465332031,573.2691650390625,2085.640380859375,12.539999961853027,16.399999618530273,6.090000152587891,36.000328063964844,21.319793701171875,79.43255615234375,38.21357727050781,55.207359313964844,51.930049896240234,12.655838012695312
2021-02-15,52154.12890625,985.970458984375,2830.02783203125,1152.934814453125,724.6300048828125,651.8912963867188,1475.998291015625,179.1299591064453,372.17730712890625,580.3550415039062,2061.406494140625,12.079999923706055,16.25,5.869999885559082,36.69620895385742,21.656198501586914,81.39208984375,38.3613166809082,53.37562942504883,53.923526763916016,12.596927642822266
2021-02-16,52104.171875,999.0918579101562,2802.40283203125,1135.68115234375,729.2252197265625,636.8997802734375,1486.4114990234375,178.80226135253906,367.8343200683594,580.550537109375,2043.776611328125,11.800000190734863,16.049999237060547,5.590000152587891,36.649818420410156,21.7823486328125,81.67884826660156,39.24770736694336,55.16475296020508,53.674339294433594,12.93075180053711
2021-02-17,51703.828125,1010.2972412109375,2770.136962890625,1128.55078125,711.1582641601562,635.4490356445312,1485.9794921875,178.31068420410156,376.61187744140625,580.599365234375,2013.7744140625,11.890000343322754,15.899999618530273,5.239999771118164,38.691078186035156,22.22062873840332,82.8736801147461,39.49393081665039,55.036956787109375,56.216026306152344,13.971494674682617
2021-02-18,51324.69140625,1001.9296875,2755.761474609375,1137.6617431640625,696.812255859375,623.4073486328125,1464.0491943359375,179.3347625732422,379.4462890625,575.6637573242188,1998.0526123046875,11.579999923706055,16.149999618530273,5.269999980926514,40.68593978881836,22.483591079711914,82.9214859008789,42.399349212646484,57.03907775878906,57.91047668457031,15.022056579589844
2021-02-19,50889.76171875,1009.2300415039062,2768.875244140625,1136.7813720703125,689.8634033203125,603.434814453125,1447.1097412109375,176.91795349121094,365.1370544433594,567.7960205078125,2029.1248779296875,10.90999984741211,16.0,5.190000057220459,39.01582336425781,22.22062873840332,79.71932220458984,39.789405822753906,55.59074020385742,62.24628829956055,14.148224830627441
