Date,^NSEI,RELIANCE.NS,TCS.NS,INFY.NS,HDFCBANK.NS,ICICIBANK.NS,LT.NS,ITC.NS,SBIN.NS,BHARTIARTL.NS,HINDUNILVR.NS,IDEA.NS,YESBANK.NS,SUZLON.NS,PNB.NS,IRFC.NS,FEDERALBNK.NS,BHEL.NS,SAIL.NS,IDFCFIRSTB.NS,UCOBANK.NS
2021-01-29,13634.599609375,835.1976928710938,2735.11669921875,1090.7608642578125,658.5238647460938,519.379638671875,1266.5533447265625,155.93539428710938,260.2983703613281,531.0950927734375,2081.89453125,11.199999809265137,15.75,5.784748077392578,30.943891525268555,20.857053756713867,69.10936737060547,35.57327651977539,48.93914794921875,47.046016693115234,12.616291046142578
2021-02-01,14281.2001953125,859.3882446289062,2759.73046875,1109.9959716796875,699.370849609375,583.98779296875,1374.875244140625,165.67897033691406,286.68804931640625,555.6065063476562,2067.824951171875,11.699999809265137,16.399999618530273,6.060212135314941,33.17074203491211,21.109359741210938,73.79313659667969,37.694847106933594,53.990108489990234,46.44797134399414,12.763562202453613
2021-02-02,14647.849609375,873.2179565429688,2816.078857421875,1119.1070556640625,739.0575561523438,597.0932006835938,1442.582275390625,167.40521240234375,307.3569030761719,574.9852294921875,2051.133544921875,11.850000381469727,16.549999237060547,6.335676193237305,33.58827590942383,20.815004348754883,76.70852661132812,38.385589599609375,51.782962799072266,47.54438400268555,12.812653541564941
2021-02-03,14789.9501953125,875.4171142578125,2813.090087890625,1130.9033203125,745.8060913085938,601.9291381835938,1450.5062255859375,166.29273986816406,309.9866638183594,584.0990600585938,2053.341064453125,12.25,16.25,6.197944164276123,35.583160400390625,20.394498825073242,77.99895477294922,39.175010681152344,53.990108489990234,47.49454879760742,13.009016036987305
2021-02-04,14895.650390625,872.5377807617188,2802.89306640625,1126.2376708984375,747.842529296875,607.6839599609375,1451.692138671875,176.41989135742188,327.65667724609375,576.1845092773438,2065.06640625,12.149999618530273,16.200000762939453,6.427496910095215,37.578041076660156,21.319612503051758,81.77464294433594,41.64195251464844,55.585662841796875,48.88998031616211,13.15628719329834
2021-02-05,14924.25,872.288330078125,2776.0810546875,1119.8553466796875,756.6038208007812,593.9983520507812,1439.0712890625,179.7956085205078,362.7198791503906,557.4772338867188,2087.090576171875,12.0,16.899999618530273,6.01430082321167,37.2532958984375,21.613964080810547,79.5283432006836,42.974098205566406,56.103145599365234,48.142425537109375,13.058107376098633
2021-02-08,15115.7998046875,884.8485107421875,2825.44140625,1147.5416259765625,760.2268676757812,608.9412841796875,1472.56884765625,178.8366241455078,366.3646240234375,573.0186157226562,2056.83544921875,11.699999809265137,17.049999237060547,6.01430082321167,35.2584114074707,21.65601348876953,79.19379425048828,39.323020935058594,58.38866424560547,48.989654541015625,12.910833358764648
2021-02-09,15109.2998046875,886.9794921875,2792.739501953125,1149.30224609375,763.3524780273438,612.5682373046875,1486.470947265625,175.69107055664062,364.2884826660156,574.6015625,2038.0755615234375,11.949999809265137,16.649999618530273,5.738836765289307,36.2326545715332,21.277555465698242,79.28938293457031,38.237571716308594,57.5693244934082,49.83687973022461,12.861743927001953
2021-02-10,15106.5,895.2093505859375,2824.738037109375,1141.3353271484375,749.0974731445312,611.4075927734375,1473.5653076171875,174.5785675048828,361.9355773925781,566.207275390625,2055.778076171875,11.899999618530273,16.399999618530273,5.601105213165283,36.60380172729492,21.361658096313477,79.19379425048828,37.74418258666992,57.52620315551758,50.38508605957031,12.714471817016602
2021-02-11,15173.2998046875,932.1185913085938,2818.321044921875,1137.9459228515625,744.6458129882812,609.9569702148438,1452.3564453125,173.73468017578125,359.9978942871094,573.7860717773438,2081.066650390625,12.899999618530273,16.5,5.738836765289307,35.95429992675781,21.361658096313477,79.71952056884766,38.237571716308594,57.698699951171875,52.37855911254883,12.714471817016602
